"param","est","est_med","ci_high","ci_low","param_type","snum"
"Intra-household
symptomatic",0.0387136601190546,0.0401409806226833,0.0625525203024346,0.0185215805113744,"Infection probability",7
"Intra-household
asymptomatic",0.0147266312924481,0.0157809007696582,0.0425894819309318,0.00360899740701286,"Infection probability",7
"OR - asmpt/symp",0.37113781566209,0.390540730295776,1.3302323142179,0.0860521279693421,"OR - asmpt/symp",7
"Extra-household",0.010770588428089,0.0108560811804843,0.0138894580133454,0.00812909288385964,"Infection probability",7
"Recovery period",2.04846106351201,2.04730395998668,2.15641322571835,1.94781591824113,"Recovery period",7
"Incubation period",1.35173753610586,1.33252447371164,1.65751461810277,1.16009003411934,"Incubation period",7
"Probability of symptoms",0.446129652796483,0.446949231688638,0.547198317905411,0.33786776883425,"Probability of symptoms",7
"Pr_S",0.405394131747147,0.40510007518274,0.373018810207335,0.440036770128296,"Initial probability",7
"Pr_Ia",0.0225068269919157,0.0150324389141108,4.77231423124581e-05,0.0827911938495133,"Initial probability",7
"Pr_Is",0.0393605603314577,0.0381953283817789,0.00025217829630051,0.0929295972519548,"Initial probability",7
"Pr_R",0.446891836221608,0.449303207859661,0.38791410019183,0.489017858715573,"Initial probability",7
"Pr_E",0.0858466447078712,0.0907412988921711,0.0116471482292274,0.133274808278749,"Pr_E",7
"Intra-household
symptomatic",0.0513190328211005,0.0522003049741231,0.0746541077827071,0.0317511837000117,"Infection probability",8
"Intra-household
asymptomatic",0.0226484505674348,0.0239634998576789,0.0534784534081686,0.00689225449167687,"Infection probability",8
"OR - asmpt/symp",0.428380225644775,0.44810199510783,1.26620929512605,0.11578322429906,"OR - asmpt/symp",8
"Extra-household",0.00903677314056604,0.00914017363805718,0.0119135870879535,0.00634333952126803,"Infection probability",8
"Recovery period",2.08224275768929,2.0801340609213,2.19691924965833,1.98157913403115,"Recovery period",8
"Incubation period",1.50237242996832,1.47288531047483,1.98276142816954,1.20107719018693,"Incubation period",8
"Probability of symptoms",0.562595619551753,0.561176325626994,0.677332142719262,0.451535967069823,"Probability of symptoms",8
"Pr_S",0.429321601602628,0.429697228791626,0.395305128431631,0.459927745823752,"Initial probability",8
"Pr_Ia",0.0991725654412246,0.100341701041773,0.0547232364189773,0.137763693625223,"Initial probability",8
"Pr_Is",0.0296758029430971,0.0309054898300896,0.00037746068750059,0.061502285960449,"Initial probability",8
"Pr_R",0.411890783817945,0.411721520080824,0.369775579884888,0.456669864112995,"Initial probability",8
"Pr_E",0.0299392461951054,0.0257062558861526,0.000105839793922612,0.0793730251784307,"Pr_E",8
"Intra-household
symptomatic",0.0244230955722888,0.0296128936984361,0.056273831510241,0.00241793636691902,"Infection probability",9
"Intra-household
asymptomatic",0.018293385167586,0.0222611719604726,0.0649761750673039,0.0017387376739704,"Infection probability",9
"OR - asmpt/symp",0.744343092833251,0.777448699272755,3.44450465581232,0.139589012689281,"OR - asmpt/symp",9
"Extra-household",0.011622997125196,0.0116914761608553,0.0150150790366603,0.00859754471532472,"Infection probability",9
"Recovery period",1.95818212601636,1.95761086411096,2.0633678229258,1.8611981216932,"Recovery period",9
"Incubation period",1.55636677446606,1.53029932405012,2.01409291988034,1.23577133650029,"Incubation period",9
"Probability of symptoms",0.420460708658925,0.418492739052596,0.52592667528127,0.322508833433348,"Probability of symptoms",9
"Pr_S",0.409172124453974,0.409308917581156,0.370330416323616,0.446371905767448,"Initial probability",9
"Pr_Ia",0.0321370612878227,0.0267131456633568,0.000112895074805354,0.092217537854715,"Initial probability",9
"Pr_Is",0.0178157930429246,0.0130694086941287,4.24199452300536e-05,0.0590583273865156,"Initial probability",9
"Pr_R",0.444864333355979,0.447611267297945,0.390686390148503,0.485203199100782,"Initial probability",9
"Pr_E",0.0960106878592997,0.0996650231609736,0.0271252023571898,0.145694649040032,"Pr_E",9
"Intra-household
symptomatic",0.0419671499932407,0.043669340485011,0.0661777906023749,0.0171328353904762,"Infection probability",10
